e,xmu,bkg,pre_edge,post_edge,der,sec,chie
7221.0229,0.58520752,0.58545863,0.21119943,0.58511052,8.76E-05,-5.34E-07,-6.70E-04
7225.9032,0.58558382,0.58602235,0.21161096,0.58561819,1.05E-04,2.92E-06,-1.17E-03
7231.0224,0.58626042,0.58661467,0.21204263,0.58615233,1.17E-04,5.11E-07,-9.45E-04
7236.1295,0.58677809,0.58720659,0.21247328,0.58668684,1.11E-04,-8.06E-07,-1.14E-03
7241.0485,0.58736849,0.58777762,0.21288807,0.58720322,1.09E-04,-8.41E-07,-1.09E-03
7246.1661,0.58786911,0.58837259,0.21331961,0.58774207,1.02E-04,2.54E-07,-1.34E-03
7251.3017,0.58841514,0.58897055,0.21375266,0.58828447,1.11E-04,2.24E-06,-1.48E-03
7256.23,0.58898934,0.58954518,0.21416823,0.58880655,1.25E-04,1.52E-06,-1.48E-03
7261.1661,0.58964442,0.59012145,0.21458446,0.58933098,1.26E-04,8.64E-08,-1.27E-03
7266.3384,0.59026632,0.59072607,0.21502061,0.58988216,1.25E-04,1.69E-07,-1.23E-03
7271.4986,0.59094106,0.59133001,0.21545574,0.59043373,1.28E-04,2.16E-06,-1.04E-03
7276.6886,0.59159197,0.59193813,0.21589339,0.59099018,1.48E-04,1.60E-06,-9.23E-04
7282.0784,0.5925056,0.59257036,0.21634787,0.59156984,1.45E-04,-2.22E-06,-1.73E-04
7287.4821,0.59315737,0.59320488,0.21680353,0.59215285,1.24E-04,-2.00E-06,-1.27E-04
7292.925,0.59384986,0.59384466,0.2172625,0.59274194,1.23E-04,-7.69E-08,1.39E-05
7298.603,0.5945287,0.59451274,0.2177413,0.59335847,1.23E-04,2.41E-07,4.26E-05
7304.2647,0.59524553,0.59517954,0.21821871,0.59397525,1.26E-04,-2.69E-07,1.76E-04
7309.6951,0.59592681,0.59581971,0.21867662,0.59456873,1.20E-04,-1.25E-06,2.86E-04
7315.1616,0.59655415,0.5964647,0.21913758,0.59516804,1.12E-04,5.38E-08,2.39E-04
